1.641,0.639,0.2711,0.9625
2.029,1.311,0.565,0.8251
2.313,2.207,0.8047,0.5937
1.94,2.82,0.9837,0.1798
1.111,2.954,0.989,0.1482
0.297,3.26,0.7995,0.6006
0.207,3.723,0.4405,0.8978
0.67,4.194,-0.0194,0.9998
1.589,4.149,-0.0238,0.9997
2.403,4.104,0.0246,0.9997
3.194,4.179,-0.2683,0.9633
3.74,3.843,-0.725,0.6887
3.71,3.253,-0.9197,0.3926
3.344,2.902,-0.999,0.0448
2.515,2.82,-0.9871,0.1604
1.76,2.558,-0.7724,0.6351
1.641,1.953,-0.8882,0.4595
0.984,1.475,-0.9942,0.1072
0.125,1.296,-0.833,0.5533
-0.181,0.587,-0.6018,0.7986
0.028,-0.056,-0.3746,0.9272
