2.216,1.535,0.8331,0.5531
2.029,1.953,0.8292,0.559
1.88,2.289,0.88,0.4749
1.686,2.596,0.9575,0.2883
1.312,2.82,0.9985,0.0542
0.984,2.902,0.9872,0.1594
0.558,3.014,0.8471,0.5314
0.401,3.298,0.7522,0.6589
0.371,3.522,0.694,0.72
0.356,3.798,0.5029,0.8643
0.483,4.022,0.1601,0.9871
0.663,4.082,-0.0009,1
0.894,4.104,0.0086,1
1.342,4.112,0.0378,0.9993
1.589,4.149,0,1
1.91,4.142,-0.0303,0.9995
2.141,4.149,-0.0216,0.9998
2.485,4.134,0.043,0.9991
2.746,4.156,-0.0234,0.9997
2.896,4.149,-0.0679,0.9977
3.105,4.097,-0.1375,0.9905
3.896,4.015,-0.3984,0.9172
4.038,3.85,-0.5736,0.8192
4.098,3.686,-0.7154,0.6987
4.09,3.357,-0.7881,0.6156
4.038,3.148,-0.9159,0.4014
3.866,2.962,-0.991,0.1337
3.32,2.894,-0.9959,0.0905
2.866,2.849,-0.9692,0.2461
2.612,2.723,-0.9237,0.383
2.418,2.528,-0.8344,0.5511
2.268,2.177,-0.8506,0.5258
2.067,1.774,-0.8728,0.488
1.925,1.543,-0.8686,0.4956
1.731,1.214,-0.8582,0.5134
1.432,0.758,-0.9682,0.2502
0.804,0.377,-0.974,0.2265
0.125,0.019,-0.9866,0.1634
