1.193,1.094,0.322,0.9467
1.805,1.565,0.5655,0.8248
1.977,2.043,0.7155,0.6987
1.97,2.73,0.9038,0.4279
1.641,2.976,0.9999,0.0152
0.887,2.999,-0.9997,0.0228
0.394,2.976,0.9043,0.4268
0.185,3.327,0.7166,0.6975
0.17,3.895,0.2837,0.9589
0.61,4.179,0.0052,1
1.312,4.186,-0.0064,1
1.865,4.179,-0.0001,1
2.403,4.171,-0.0206,0.9998
3,4.134,0.0001,1
3.478,4.134,-0.3193,0.9476
3.792,3.835,-0.7258,0.6879
3.732,3.283,-0.933,0.36
3.336,2.924,1,0.0051
2.597,2.932,1,0.0071
2.141,2.969,-0.9238,0.3829
1.865,2.618,-0.7201,0.6939
1.843,2.013,-0.7372,0.6757
1.805,1.58,-0.9068,0.4215
1.402,1.102,-0.9584,0.2855
0.819,0.721,-0.9433,0.3318
0.177,0.206,-0.9273,0.3744
