3.448,1.087,0.3638,0.9315
2.701,0.818,0.2144,0.9767
1.955,0.609,0.1977,0.9803
1.335,0.669,0.5004,0.8658
1.671,1.169,0.4128,0.9108
1.992,1.535,0.7101,0.7041
1.984,2.424,0.8824,0.4705
1.596,2.969,0.9971,0.0766
0.677,3.111,0.9049,0.4256
0.424,3.417,0.7776,0.6288
0.319,3.843,0.392,0.92
0.543,4.164,-0,1
1.043,4.156,-0.0153,0.9999
1.82,4.134,0.0001,1
2.395,4.134,0.0338,0.9994
2.836,4.164,-0.0274,0.9996
3.381,4.134,-0.4131,0.9107
3.642,3.813,-0.7017,0.7125
3.65,3.298,-0.9674,0.2533
3.12,3.059,-1,0.0004
2.365,3.014,-0.9107,0.4131
1.94,2.528,-0.79,0.6131
1.768,1.856,-0.8834,0.4686
1.439,1.371,-0.8922,0.4516
1.148,0.975,-0.9315,0.3637
0.864,0.714,-0.8437,0.5367
0.625,0.146,-0.9895,0.1447
0.207,0.034,-0.9925,0.1224
