1.1,0.9,0.4838,0.8752
1.95,1.6,0.707,0.707
2.4,2.7,0,1
3.35,2.7,0,1
3.9,3.35,0.707,0.707
3.3,4.3,1,0
1.8,4.3,1,0
1.5,4.2,1,0
1.2,4.1,1,0
1,4.1,1,0
0.6,4.1,1,0
0.342,3.765,-0.896,0.4441
0.15,3.2,-0.707,0.707
0.4,2.5,0,1
1.696,2.055,-0.4398,0.8981
1.95,1.6,-0.707,0.707
0.05,0.05,-0.707,0.707
